user_id,game_title,platform,genre,multiplayer,requires_special_device,price,playtime_hours,player_rating
1,Halo Infinite,Nintendo Switch,Simulation,Yes,Yes,31.09,11.096112204985504,3.46
1,Just Dance 2024,PlayStation,Shooter,No,No,49.51,0.5,2.67
1,Tomb Raider (2013),PlayStation,Puzzle,Yes,Yes,40.84,11.289550595411336,2.31
1,Tomb Raider (2013),Nintendo Switch,Puzzle,No,Yes,43.56,8.809201250926487,3.22
1,Fall Guys,Xbox,Puzzle,No,No,37.34,1.2276901470650792,3.22
1,Red Dead Redemption 2,Xbox,Shooter,Yes,No,55.69,4.2419959582237565,3.42
1,Sid Meier’s Civilization VI,PlayStation,Party,No,Yes,28.29,12.072537404486958,3.39
1,League of Legends,Mobile,Simulation,Yes,Yes,56.77,8.416430585921562,3.42
1,Hades,PlayStation,Fighting,No,No,49.91,3.93815820121161,3.65
1,Fortnite,PlayStation,RPG,No,Yes,20.75,10.181894407312754,2.97
1,Red Dead Redemption 2,PlayStation,Puzzle,Yes,Yes,27.74,0.5,2.72
1,Ghost of Tsushima,PlayStation,Fighting,No,Yes,51.72,13.328833681110043,3.33
2,The Legend of Zelda: Breath of the Wild,Xbox,Sports,Yes,No,31.55,5.375310201982265,2.1
2,Rocket League,Mobile,Puzzle,Yes,No,26.45,2.341624766670541,3.53
2,Among Us,Xbox,Strategy,Yes,Yes,41.36,4.769219432781342,2.36
2,Call of Duty: Modern Warfare 2,PlayStation,Puzzle,Yes,No,24.03,20.162810401697158,2.3
2,FIFA 24,Xbox,Party,Yes,No,24.38,7.595180419561642,3.36
2,Halo Infinite,PC,Strategy,Yes,No,23.29,4.6561216235901535,2.18
2,Just Dance 2024,Mobile,Strategy,Yes,No,46.17,1.6528352922707183,3.37
2,Tetris,PlayStation,Simulation,Yes,No,23.93,6.012628674163628,2.46
2,Among Us,Nintendo Switch,Puzzle,Yes,Yes,21.82,26.708898996872286,3.35
2,Fall Guys,Nintendo Switch,Adventure,Yes,Yes,20.03,6.892802980450884,3.05
2,The Elder Scrolls V: Skyrim,PlayStation,Sports,Yes,No,43.69,9.17352615831596,2.96
2,Hades,Nintendo Switch,RPG,Yes,Yes,22.01,8.9405587517492,2.18
2,Portal 2,PlayStation,Fighting,Yes,Yes,20.73,9.394137014061744,3.26
2,League of Legends,PlayStation,Sports,No,Yes,25.74,2.115684679219832,2.72
2,Pillars of Eternity II: Deadfire,Mobile,Shooter,Yes,No,41.38,8.148608104765582,1.68
2,Among Us,Nintendo Switch,RPG,Yes,No,36.02,4.618852910252672,2.44
2,Cuphead,Mobile,RPG,No,No,45.18,7.15773113402727,3.47
2,Halo Infinite,PC,Fighting,No,Yes,44.01,4.264114790660946,3.89
2,The Witcher 3: Wild Hunt,Mobile,Action,Yes,Yes,33.25,6.933753058686652,3.14
2,Half-Life: Alyx,PC,Shooter,No,No,30.18,8.457544868328876,1.89
2,Tetris,Mobile,Puzzle,No,Yes,31.94,10.430976121451051,3.47
2,Super Mario Odyssey,PlayStation,Party,Yes,No,25.51,7.658311744922683,3.23
2,Cuphead,Mobile,Puzzle,No,Yes,21.76,9.796043923827312,3.64
2,Super Mario Odyssey,PC,Adventure,Yes,No,32.68,5.968194926348776,3.43
2,Tomb Raider (2013),Nintendo Switch,Sports,Yes,Yes,22.57,13.70577587243546,3.01
2,FIFA 24,Nintendo Switch,Strategy,No,No,27.33,10.963700375248603,2.67
3,The Witcher 3: Wild Hunt,PC,Action,Yes,Yes,29.71,5.101101065573516,2.34
3,Overwatch 2,PC,RPG,Yes,No,50.61,12.957994235429757,3.92
3,Call of Duty: Modern Warfare 2,Mobile,RPG,Yes,No,28.56,6.047645851659421,3.15
3,Tetris,Xbox,Action,No,No,53.72,4.085136170044897,1.63
3,Call of Duty: Modern Warfare 2,Nintendo Switch,Simulation,Yes,No,32.39,4.196661387621083,1.46
3,Ghost of Tsushima,Xbox,Party,Yes,Yes,52.65,0.5,3.75
3,Grand Theft Auto V,PlayStation,Action,No,No,39.86,7.40252558470246,2.45
3,Ghost of Tsushima,PC,Simulation,Yes,Yes,43.51,8.301833100456221,2.07
3,Call of Duty: Modern Warfare 2,Xbox,RPG,Yes,No,56.68,9.739918876395853,3.31
3,Tetris,PC,Simulation,Yes,No,32.23,6.413444653343916,1.51
3,Halo Infinite,PlayStation,Fighting,No,Yes,25.57,4.3361488134269095,3.5
3,Hades,Xbox,Puzzle,Yes,No,34.83,7.368381469502238,2.36
3,Street Fighter V,PC,Strategy,Yes,No,26.46,3.748380078176968,3.5
3,The Legend of Zelda: Breath of the Wild,Xbox,Party,No,Yes,37.51,3.017333754490007,2.58
3,Pokémon Scarlet & Violet,Mobile,Adventure,No,No,36.6,7.8948179855085465,3.52
3,Rocket League,PC,RPG,Yes,No,30.1,9.48479583271993,3.16
3,Halo Infinite,Xbox,Action,No,No,40.67,11.566469381702268,3.17
3,Fortnite,PC,Strategy,Yes,Yes,38.36,5.322771584712676,3.02
3,Animal Crossing: New Horizons,Mobile,RPG,No,No,34.03,4.329829866121858,3.24
3,Pokémon Scarlet & Violet,Mobile,Simulation,No,Yes,55.36,8.067352191089848,2.74
3,Pillars of Eternity II: Deadfire,Nintendo Switch,Simulation,Yes,No,49.68,7.185277904930125,2.38
3,Street Fighter V,PlayStation,RPG,No,No,35.21,10.994183944430551,4.15
3,FIFA 24,PC,RPG,Yes,Yes,50.6,13.14047967422978,2.19
3,Tomb Raider (2013),Mobile,Adventure,No,Yes,28.02,3.368009265385514,2.5
3,Bioshock Infinite,Mobile,Adventure,Yes,Yes,42.97,4.87130642170362,2.53
3,Halo Infinite,PlayStation,RPG,Yes,No,26.67,8.957781894625613,3.26
3,The Sims 4,Nintendo Switch,RPG,Yes,No,33.18,3.4745220228150266,2.68
4,Spelunky 2,Mobile,RPG,No,No,30.7,4.855048283078543,3.0
4,Mario Kart 8 Deluxe,Nintendo Switch,Strategy,No,Yes,25.02,5.066866826778423,2.81
4,The Sims 4,Xbox,RPG,Yes,No,42.4,7.358727742680546,3.29
4,FIFA 24,PlayStation,Simulation,Yes,Yes,29.11,2.6993436155013333,3.23
4,Stardew Valley,Mobile,Party,Yes,Yes,31.53,2.22528765344793,3.21
4,Counter-Strike: Global Offensive,PlayStation,Party,No,Yes,30.08,5.213848409976814,2.46
4,Mario Kart 8 Deluxe,PlayStation,RPG,No,No,22.13,4.446771373569499,3.77
4,Rocket League,PlayStation,Simulation,Yes,No,21.53,3.952616086678263,2.79
4,Hades,Nintendo Switch,RPG,No,Yes,48.97,3.954043066266727,3.09
4,Call of Duty: Modern Warfare 2,Xbox,Adventure,No,No,38.61,6.69696413359996,2.73
4,1000-Piece Puzzle,Nintendo Switch,RPG,Yes,Yes,24.05,10.483905788452786,3.36
4,Just Dance 2024,Xbox,Shooter,Yes,Yes,59.98,4.574749475985889,1.99
4,Halo Infinite,Nintendo Switch,RPG,Yes,Yes,30.82,15.400493111257475,3.68
4,The Sims 4,PlayStation,Adventure,No,No,58.49,4.64490097941765,4.49
4,Tomb Raider (2013),Mobile,Simulation,No,Yes,30.54,4.604670154102886,2.27
4,Tetris,Nintendo Switch,RPG,Yes,Yes,43.35,11.634097604296892,2.99
4,Portal 2,PlayStation,Adventure,No,Yes,32.97,7.135877953664565,2.22
4,League of Legends,Mobile,Fighting,Yes,No,30.99,5.817327385171824,2.29
4,Half-Life: Alyx,Nintendo Switch,Sports,Yes,No,29.0,8.346624215908287,3.88
4,Portal 2,PC,RPG,Yes,Yes,26.03,4.993243534953687,2.35
4,League of Legends,PC,Simulation,Yes,Yes,42.15,3.047010465939934,2.2
4,Overwatch 2,PC,RPG,No,Yes,57.92,7.631255325132684,1.44
4,Minecraft,Mobile,Shooter,Yes,No,29.61,7.675980893914228,2.1
4,Animal Crossing: New Horizons,Nintendo Switch,RPG,Yes,No,26.5,18.414738287172657,2.3
5,Fall Guys,PlayStation,Party,Yes,Yes,34.43,4.752842210094285,2.72
5,Mario Kart 8 Deluxe,PC,Sports,No,Yes,34.78,6.51517656100537,2.94
5,Minecraft,PC,Sports,No,Yes,25.15,6.1469465587192,2.55
5,Halo Infinite,Nintendo Switch,Simulation,No,No,26.68,12.713491026528281,2.78
5,Super Smash Bros. Ultimate,PC,Sports,No,No,39.33,4.392817276940653,2.25
5,Among Us,PlayStation,Party,Yes,No,40.31,4.70332431964675,1.69
5,Mario Kart 8 Deluxe,PlayStation,Fighting,Yes,Yes,43.95,7.871855874556857,1.6
5,Overwatch 2,Xbox,Party,No,Yes,34.93,3.437327892693262,2.82
5,Hades,Nintendo Switch,RPG,No,No,56.12,7.5270461657739,1.99
5,The Elder Scrolls V: Skyrim,Nintendo Switch,Simulation,Yes,Yes,46.93,10.061787913353754,3.15
5,Mario Kart 8 Deluxe,Xbox,Shooter,No,No,59.65,10.616709097912892,1.69
5,Sid Meier’s Civilization VI,Mobile,Strategy,No,Yes,31.52,5.682704317169739,2.88
5,FIFA 24,Nintendo Switch,Strategy,No,Yes,43.1,13.63546440797359,2.58
5,Street Fighter V,Mobile,Sports,No,No,42.09,9.637528943283339,3.58
